,part_name,part_id,voice_id,instrument_name,metronome_mark,quarter_bpm,time_signature,scale,element_class_name,pitch_name,pitch_class,octave,velocity,quarter_length,offset
10115,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,A,9.0,2.0,82.0,1.0,0.0
10116,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,A,9.0,4.0,81.0,1.0,0.0
10117,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,C,0.0,5.0,81.0,1.0,0.0
10118,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,A,9.0,2.0,81.0,1.0,0.0
10119,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,4.0,76.0,1.0,0.0
10120,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,A,9.0,4.0,76.0,1.0,0.0
10121,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,2.0,79.0,1.0,0.0
10122,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,4.0,72.0,1.0,0.0
10123,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,A,9.0,4.0,72.0,1.0,0.0
10124,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,A,9.0,3.0,70.0,1.0,0.0
10125,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,A,9.0,4.0,83.0,1.0,0.0
10126,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,C,0.0,5.0,83.0,1.0,0.0
10127,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,A,9.0,2.0,74.0,1.0,0.0
